Presence of fraud,auditor changes,num. commisioners,AGROW,DR,ROA,WCTA
1,0,0.6,0.0145,0.0378,0.023,0.4915
0,0,0.6,-0.0042,0.0353,0.0081,0.4908
0,1,0.6,0.0018,0.0489,0.0125,0.4132
0,0,0.3333,-0.0157,0.047,0.0344,0.3922
0,0,0.3333,0.0206,0.0574,0.0312,0.4048
0,0,0.3333,0.0136,0.0548,0.0464,0.4372
0,1,0.013,0.0505,0.0953,0.4498,0.4492
0,0,0.3,0.0915,0.0666,0.0719,0.5041
0,0,0.3333,0.0426,0.0662,0.0689,0.4546
0,0,0.3333,0.0415,0.1071,0.0914,0.4227
0,1,0.3333,0.0546,0.0955,0.0809,0.4691
1,0,0.5,-0.158,0.4895,0.1089,-0.0279
0,0,0.5,0.0485,0.5461,0.0204,-0.0247
0,0,0.5,-0.0023,0.5097,0.01,0.0426
1,0,0.5,0.0925,0.5073,0.0406,-0.0565
0,1,0.4286,-0.01571,1,0.0336,-0.0352
0,1,0.4286,0.0386,0.4702,0.0334,-0.0307
0,0,0.8,0.0201,0.4677,0.0204,-0.1178
1,0,0.5714,-0.039,0.4819,0.0202,-0.2449
1,0,0.5714,-0.1479,0.6385,0.0411,-0.3814
0,0,0.6,0.0208,0.6263,0.3635,-0.1727
1,0,0.5714,-0.1108,0.6205,0.02,-0.0746
1,0,0.4286,0.2234,0.0194,0.0968,0.317
0,0,0.4286,-0.1119,0.0022,0.3956,0.2335
0,1,0.5,0.005,0.0028,0.1303,0.241
0,0,0.5,0.709,0.6278,0.0283,-0.4747
1,1,0.5,-0.0698,0.0009,0.1379,0.0931
0,0,0.5,0.0788,0.0008,0.2302,0.1337
1,0,0.6,-0.0149,0.0006,0.03559,0.0872
1,1,0.6,0.0029,0.0008,0.07,0.0897
1,0,0.6,0.0028,0.0008,0.2002,0.0798
1,1,0.5,0.0103,0.0009,0.1515,0.0892
1,0,0.5,-0.0248,0.0002,0.1263,0.0263
1,1,0.3333,0.0118,0.1525,0.153,6.4682
0,1,0.3,-0.05,0.127,0.1042,0.5487
0,0,0.3636,0.0054,0.1468,0.0693,0.5424
0,0,0.1429,0.0227,0.1493,0.1021,0.5753
0,0,0.2857,0.038,0.1456,0.129,0.5981
0,1,0.375,0.1137,0.2036,0.1404,5718
1,0,0.375,-0.0018,0.1903,0.1536,6087
0,0,0.2857,0.0095,0.1709,0.0684,0.6011
0,0,0.375,0.0371,0.1794,0.1079,0.5867
0,1,0.375,0.253,0.19,0.0777,0.6853
1,0,0.375,0.4126,0.5195,0.0572,0.1714
0,1,0.3333,0.0672,0.3613,0.0017,0.4691
1,1,0.6667,-0.605,0.2906,0.0847,0.4623
0,1,0.6667,0.5634,0.1054,0.0052,0.3625
1,0,0.6667,0.1802,0.1476,0.0102,0.3277
1,0,0.6667,0.0262,0.1537,0.0011,0.3711
1,1,0.6,0.0316,0.1012,0.0157,0.4815
0,1,0.6,-0.0072,0.1171,0.0798,0.5089
0,1,0.6,0.0121,0.114,0.0221,0.4419
1,0,0.6667,0.0402,0.1586,0.0132,0.43887
0,0,0.5,-0.0788,0.1132,0.0096,0.4748
0,0,0.4,0.0256,0.1555,0.0203,0.4768
0,0,0.4286,0.0151,0.0151,0.1186,0.3042
0,0,0.4,-0.008,0.0054,0.0011,0.3086
0,1,0.6,0.0172,0.0153,0.0018,0.3104
0,1,0.6,0.4518,0.4571,0.0039,0.1732
0,0,0.75,-1.3847,0.8428,0.0073,-0.7243
1,1,0.75,0.0011,0.972,1.1362,-0.8525
1,0,0.6,0.1635,1.0373,0.1079,-0.7739
0,0,0.6,0.0169,1.1042,0.0597,-0.8282
1,1,0.6,0.0299,0.6899,0.0655,-0.3923
1,1,0.5,-0.1155,0.2862,0.4587,-0.0825
1,1,0.6,0.1335,0.0704,0.2335,0.1347
1,1,0.3636,0.1122,0.5372,0.0359,0.3908
0,0,0.4167,0.202,0.6443,0.0475,0.2015
1,0,0.3636,0.1421,0.3171,0.0228,0.154
0,1,0.3333,0.092,0.3345,0.1214,-0.0014
1,0,0.3636,0.0354,0.3131,0.0788,0.0198
1,1,0.3333,0.1234,0.3948,0.0811,-0.0553
0,0,0.4286,0.0888,0.4488,0.0599,-0.021
0,0,0.4286,0.0739,0.4738,0.0324,-0.0777
0,0,0.5,0.1241,0.5036,0.0536,-0.0943
0,0,0.4667,0.0264,0.4903,0.0848,-0.1225
1,1,0.4667,-0.0122,0.4254,0.0621,-0.1172
0,0,0.5,-0.1499,0.0318,0.3571,0.0578
1,0,0.5,-0.0218,0.0358,0.0868,0.0283
1,0,0.4,0.0293,0.0447,0.0224,0.0804
1,1,0.4,0.0894,0.0597,0.0934,0.099
1,1,0.3333,0.015,0.0379,0.16,0.1117
1,1,0.2857,0.0537,0.0234,0.1023,0.1733
0,0,0.4286,0.0031,0.016,0.1055,0.0832
0,0,0.4286,0.0307,0.0171,0.0381,0.0862
1,0,0.5714,0.0122,0.0131,0.0541,0.0763
1,0,0.4286,-0.0033,0.0041,0.0351,0.0455
0,0,0.4286,0.1217,0.0267,0.0084,0.0172
0,0,0.375,0.0888,0.5684,0.03,0.107
1,1,0.4286,0.009,0.605,0.0167,0.032
0,0,0.3333,-0.0155,0.5877,0.0239,0.0449
0,0,0.4444,0.0945,0.6103,0.0097,0.0161
1,0,0.3,0.3555,0.4211,0.0148,0.2145
0,1,0.3,0.0915,0.4064,0.0593,0.0673
1,0,0.3,0.2884,0.5148,0.0076,0.0647
0,0,0.3,0.025,0.4791,0.0306,0.0028
0,1,0.3,0.0657,0.515,0.0263,-0.0082
0,0,0.3,0.0473,0.4827,0.0051,0.0204
1,0,0.3,0.1225,0.5081,0.0056,0.0094
0,1,0.375,-0.0046,0.0008,0.0038,0.1915
0,0,0.375,-0.0137,0.0014,0.0042,0.1859
1,0,0.375,0.1352,0.0014,0.0123,0.1444
1,0,0.375,0.2251,0.0012,0.1046,0.0806
1,0,0.4,0.3405,0.0024,0.0325,0.2787
1,0,0.3333,0.1373,0.0014,0.0248,0.113
0,1,0.3333,0.1219,0.0807,0.0529,-0.0258
0,0,0.3333,-0.0251,0.0463,0.0333,-0.0151
1,0,0.3333,-0.0247,0.0038,0.0182,0.0546
0,0,0.3333,-0.0687,0.1388,0.0064,-0.0323
1,0,0.375,0.0126,0.1097,0.2009,0.004
0,0,0.3333,0.0683,0.1214,0.0176,0.6908
1,1,0.3333,-0.0297,0.1125,0.0086,0.6921
1,0,0.3333,0.0136,0.1311,0.0013,0.675
